Cycle,Year,Medical School Name,Short Name,Cost Type,Ownership Type,Residence Status,Health Insurance Required ,Health Insurance Waived,Reported Cost
1995-96,1995,Case Western Reserve University School of Medicine,Case Western Reserve,Tuition and Fees,Private,Nonresident,,,23695.0
1995-96,1995,Case Western Reserve University School of Medicine,Case Western Reserve,Tuition and Fees,Private,Resident,,,23695.0
1995-96,1995,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,Fees,Private,Nonresident,,,100.0
1995-96,1995,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,Fees,Private,Resident,,,100.0
1995-96,1995,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,Tuition,Private,Nonresident,,,29106.0
1995-96,1995,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,Tuition,Private,Resident,,,29106.0
1995-96,1995,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,Tuition and Fees,Private,Nonresident,,,30973.0
1995-96,1995,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Med Franklin,Tuition and Fees,Private,Resident,,,30973.0
1995-96,1995,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,Fees,Private,Nonresident,,,1597.0
1995-96,1995,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,Fees,Private,Resident,,,1597.0
1995-96,1995,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,Tuition,Private,Nonresident,,,23740.0
1995-96,1995,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,Tuition,Private,Resident,,,23740.0
1995-96,1995,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,Tuition and Fees,Private,Nonresident,,,25337.0
1995-96,1995,Columbia University Vagelos College of Physicians and Surgeons,Columbia-Vagelos,Tuition and Fees,Private,Resident,,,25337.0
1995-96,1995,Creighton University School of Medicine,Creighton,Fees,Private,Nonresident,,,402.0
1995-96,1995,Creighton University School of Medicine,Creighton,Fees,Private,Resident,,,402.0
1995-96,1995,Creighton University School of Medicine,Creighton,Tuition,Private,Nonresident,,,23434.0
1995-96,1995,Creighton University School of Medicine,Creighton,Tuition,Private,Resident,,,23434.0
1995-96,1995,Creighton University School of Medicine,Creighton,Tuition and Fees,Private,Nonresident,,,23836.0
1995-96,1995,Creighton University School of Medicine,Creighton,Tuition and Fees,Private,Resident,,,23836.0
1995-96,1995,Drexel University College of Medicine,Drexel,Fees,Private,Nonresident,,,500.0
1995-96,1995,Drexel University College of Medicine,Drexel,Fees,Private,Resident,,,500.0
1995-96,1995,Drexel University College of Medicine,Drexel,Tuition,Private,Nonresident,,,22500.0
1995-96,1995,Drexel University College of Medicine,Drexel,Tuition,Private,Resident,,,22500.0
1995-96,1995,Drexel University College of Medicine,Drexel,Tuition and Fees,Private,Nonresident,,,23000.0
1995-96,1995,Drexel University College of Medicine,Drexel,Tuition and Fees,Private,Resident,,,23000.0
1995-96,1995,Duke University School of Medicine,Duke,Fees,Private,Nonresident,,,499.0
1995-96,1995,Duke University School of Medicine,Duke,Fees,Private,Resident,,,499.0
1995-96,1995,Duke University School of Medicine,Duke,Tuition,Private,Nonresident,,,22400.0
1995-96,1995,Duke University School of Medicine,Duke,Tuition,Private,Resident,,,22400.0
1995-96,1995,Duke University School of Medicine,Duke,Tuition and Fees,Private,Nonresident,,,22899.0
1995-96,1995,Duke University School of Medicine,Duke,Tuition and Fees,Private,Resident,,,22899.0
1995-96,1995,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,Fees,Public,Nonresident,,,408.0
1995-96,1995,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,Fees,Public,Resident,,,408.0
1995-96,1995,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,Tuition,Public,Nonresident,,,15468.0
1995-96,1995,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,Tuition,Public,Resident,,,8750.0
1995-96,1995,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,Tuition and Fees,Public,Nonresident,,,15876.0
1995-96,1995,East Tennessee State University James H. Quillen College of Medicine,East Tennessee-Quillen,Tuition and Fees,Public,Resident,,,9158.0
1995-96,1995,Eastern Virginia Medical School,Eastern Virginia,Fees,Public,Nonresident,,,2024.0
1995-96,1995,Eastern Virginia Medical School,Eastern Virginia,Fees,Public,Resident,,,2024.0
1995-96,1995,Eastern Virginia Medical School,Eastern Virginia,Tuition,Public,Nonresident,,,23000.0
1995-96,1995,Eastern Virginia Medical School,Eastern Virginia,Tuition,Public,Resident,,,13000.0
1995-96,1995,Eastern Virginia Medical School,Eastern Virginia,Tuition and Fees,Public,Nonresident,,,25024.0
1995-96,1995,Eastern Virginia Medical School,Eastern Virginia,Tuition and Fees,Public,Resident,,,15024.0
1995-96,1995,Emory University School of Medicine,Emory,Fees,Private,Nonresident,,,430.0
1995-96,1995,Emory University School of Medicine,Emory,Fees,Private,Resident,,,430.0
1995-96,1995,Emory University School of Medicine,Emory,Tuition,Private,Nonresident,,,20280.0
1995-96,1995,Emory University School of Medicine,Emory,Tuition,Private,Resident,,,20280.0
1995-96,1995,Emory University School of Medicine,Emory,Tuition and Fees,Private,Nonresident,,,20710.0
1995-96,1995,Emory University School of Medicine,Emory,Tuition and Fees,Private,Resident,,,20710.0
1995-96,1995,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,Fees,Private,Nonresident,,,1880.0
1995-96,1995,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,Fees,Private,Resident,,,1880.0
1995-96,1995,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,Tuition,Private,Nonresident,,,22806.0
1995-96,1995,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,Tuition,Private,Resident,,,22806.0
1995-96,1995,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,Tuition and Fees,Private,Nonresident,,,24686.0
1995-96,1995,Geisel School of Medicine at Dartmouth,Dartmouth-Geisel,Tuition and Fees,Private,Resident,,,24686.0
1995-96,1995,George Washington University School of Medicine and Health Sciences,George Washington,Fees,Private,Nonresident,,,732.0
1995-96,1995,George Washington University School of Medicine and Health Sciences,George Washington,Fees,Private,Resident,,,732.0
1995-96,1995,George Washington University School of Medicine and Health Sciences,George Washington,Tuition,Private,Nonresident,,,30200.0
1995-96,1995,George Washington University School of Medicine and Health Sciences,George Washington,Tuition,Private,Resident,,,30200.0
1995-96,1995,George Washington University School of Medicine and Health Sciences,George Washington,Tuition and Fees,Private,Nonresident,,,30932.0
1995-96,1995,George Washington University School of Medicine and Health Sciences,George Washington,Tuition and Fees,Private,Resident,,,30932.0
1995-96,1995,Georgetown University School of Medicine,Georgetown,Fees,Private,Nonresident,,,0.0
1995-96,1995,Georgetown University School of Medicine,Georgetown,Fees,Private,Resident,,,0.0
1995-96,1995,Georgetown University School of Medicine,Georgetown,Tuition,Private,Nonresident,,,23625.0
1995-96,1995,Georgetown University School of Medicine,Georgetown,Tuition,Private,Resident,,,23625.0
1995-96,1995,Georgetown University School of Medicine,Georgetown,Tuition and Fees,Private,Nonresident,,,24489.0
1995-96,1995,Georgetown University School of Medicine,Georgetown,Tuition and Fees,Private,Resident,,,24489.0
1995-96,1995,Harvard Medical School,Harvard,Fees,Private,Nonresident,,,1519.0
1995-96,1995,Harvard Medical School,Harvard,Fees,Private,Resident,,,1519.0
1995-96,1995,Harvard Medical School,Harvard,Tuition,Private,Nonresident,,,23200.0
1995-96,1995,Harvard Medical School,Harvard,Tuition,Private,Resident,,,23200.0
1995-96,1995,Harvard Medical School,Harvard,Tuition and Fees,Private,Nonresident,,,24719.0
1995-96,1995,Harvard Medical School,Harvard,Tuition and Fees,Private,Resident,,,24719.0
1995-96,1995,Howard University College of Medicine,Howard,Fees,Private,Nonresident,,,788.0
1995-96,1995,Howard University College of Medicine,Howard,Fees,Private,Resident,,,788.0
1995-96,1995,Howard University College of Medicine,Howard,Tuition,Private,Nonresident,,,14400.0
1995-96,1995,Howard University College of Medicine,Howard,Tuition,Private,Resident,,,14400.0
1995-96,1995,Howard University College of Medicine,Howard,Tuition and Fees,Private,Nonresident,,,15188.0
1995-96,1995,Howard University College of Medicine,Howard,Tuition and Fees,Private,Resident,,,15188.0
1995-96,1995,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,Fees,Private,Nonresident,,,825.0
1995-96,1995,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,Fees,Private,Resident,,,825.0
1995-96,1995,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,Tuition,Private,Nonresident,,,21000.0
1995-96,1995,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,Tuition,Private,Resident,,,21000.0
1995-96,1995,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,Tuition and Fees,Private,Nonresident,,,21825.0
1995-96,1995,Icahn School of Medicine at Mount Sinai,Mount Sinai-Icahn,Tuition and Fees,Private,Resident,,,21825.0
1995-96,1995,Indiana University School of Medicine,Indiana,Fees,Public,Nonresident,,,1068.0
1995-96,1995,Indiana University School of Medicine,Indiana,Fees,Public,Resident,,,1068.0
1995-96,1995,Indiana University School of Medicine,Indiana,Tuition,Public,Nonresident,,,22866.0
1995-96,1995,Indiana University School of Medicine,Indiana,Tuition,Public,Resident,,,9990.0
1995-96,1995,Indiana University School of Medicine,Indiana,Tuition and Fees,Public,Nonresident,,,23934.0
1995-96,1995,Indiana University School of Medicine,Indiana,Tuition and Fees,Public,Resident,,,11058.0
1995-96,1995,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,Fees,Public,Nonresident,,,359.0
1995-96,1995,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,Fees,Public,Resident,,,359.0
1995-96,1995,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,Tuition,Public,Nonresident,,,21940.0
1995-96,1995,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,Tuition,Public,Resident,,,10840.0
1995-96,1995,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,Tuition and Fees,Public,Nonresident,,,22299.0
1995-96,1995,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,Buffalo-Jacobs,Tuition and Fees,Public,Resident,,,11199.0
1995-96,1995,Johns Hopkins University School of Medicine,Johns Hopkins,Fees,Private,Nonresident,,,1828.0
1995-96,1995,Johns Hopkins University School of Medicine,Johns Hopkins,Fees,Private,Resident,,,1828.0
1995-96,1995,Johns Hopkins University School of Medicine,Johns Hopkins,Tuition,Private,Nonresident,,,21800.0
1995-96,1995,Johns Hopkins University School of Medicine,Johns Hopkins,Tuition,Private,Resident,,,21800.0
1995-96,1995,Johns Hopkins University School of Medicine,Johns Hopkins,Tuition and Fees,Private,Nonresident,,,23628.0
1995-96,1995,Johns Hopkins University School of Medicine,Johns Hopkins,Tuition and Fees,Private,Resident,,,23628.0
1995-96,1995,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,Fees,Private,Nonresident,,,860.0
1995-96,1995,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,Fees,Private,Resident,,,860.0
1995-96,1995,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,Tuition,Private,Nonresident,,,26520.0
1995-96,1995,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,Tuition,Private,Resident,,,26520.0
1995-96,1995,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,Tuition and Fees,Private,Nonresident,,,27380.0
1995-96,1995,Keck School of Medicine of the University of Southern California,Southern Cal-Keck,Tuition and Fees,Private,Resident,,,27380.0
1995-96,1995,Lewis Katz School of Medicine at Temple University,Temple-Katz,Fees,Private,Nonresident,,,358.0
1995-96,1995,Lewis Katz School of Medicine at Temple University,Temple-Katz,Fees,Private,Resident,,,358.0
1995-96,1995,Lewis Katz School of Medicine at Temple University,Temple-Katz,Tuition,Private,Nonresident,,,25295.0
1995-96,1995,Lewis Katz School of Medicine at Temple University,Temple-Katz,Tuition,Private,Resident,,,20192.0
1995-96,1995,Lewis Katz School of Medicine at Temple University,Temple-Katz,Tuition and Fees,Private,Nonresident,,,25653.0
1995-96,1995,Lewis Katz School of Medicine at Temple University,Temple-Katz,Tuition and Fees,Private,Resident,,,20550.0
1995-96,1995,Loma Linda University School of Medicine,Loma Linda,Fees,Private,Nonresident,,,885.0
1995-96,1995,Loma Linda University School of Medicine,Loma Linda,Fees,Private,Resident,,,885.0
1995-96,1995,Loma Linda University School of Medicine,Loma Linda,Tuition,Private,Nonresident,,,21903.0
1995-96,1995,Loma Linda University School of Medicine,Loma Linda,Tuition,Private,Resident,,,21903.0
1995-96,1995,Loma Linda University School of Medicine,Loma Linda,Tuition and Fees,Private,Nonresident,,,22788.0
1995-96,1995,Loma Linda University School of Medicine,Loma Linda,Tuition and Fees,Private,Resident,,,22788.0
1995-96,1995,Louisiana State University School of Medicine in New Orleans,LSU New Orleans,Fees,Public,Nonresident,,,83.0
1995-96,1995,Louisiana State University School of Medicine in New Orleans,LSU New Orleans,Fees,Public,Resident,,,83.0
1995-96,1995,Louisiana State University School of Medicine in New Orleans,LSU New Orleans,Tuition,Public,Nonresident,,,7900.0
1995-96,1995,Louisiana State University School of Medicine in New Orleans,LSU New Orleans,Tuition,Public,Resident,,,6776.0
1995-96,1995,Louisiana State University School of Medicine in New Orleans,LSU New Orleans,Tuition and Fees,Public,Nonresident,,,7983.0
1995-96,1995,Louisiana State University School of Medicine in New Orleans,LSU New Orleans,Tuition and Fees,Public,Resident,,,6859.0
1995-96,1995,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,Fees,Public,Nonresident,,,226.0
1995-96,1995,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,Fees,Public,Resident,,,226.0
1995-96,1995,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,Tuition,Public,Nonresident,,,14676.0
1995-96,1995,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,Tuition,Public,Resident,,,6776.0
1995-96,1995,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,Tuition and Fees,Public,Nonresident,,,14902.0
1995-96,1995,Louisiana State University School of Medicine in Shreveport,LSU Shreveport,Tuition and Fees,Public,Resident,,,7002.0
1995-96,1995,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,Fees,Private,Nonresident,,,409.0
1995-96,1995,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,Fees,Private,Resident,,,409.0
1995-96,1995,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,Tuition,Private,Nonresident,,,25600.0
1995-96,1995,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,Tuition,Private,Resident,,,25600.0
1995-96,1995,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,Tuition and Fees,Private,Nonresident,,,26009.0
1995-96,1995,Loyola University Chicago Stritch School of Medicine,Loyola-Stritch,Tuition and Fees,Private,Resident,,,26009.0
1995-96,1995,Marshall University Joan C. Edwards School of Medicine,Marshall-Edwards,Fees,Public,Nonresident,,,350.0
1995-96,1995,Marshall University Joan C. Edwards School of Medicine,Marshall-Edwards,Fees,Public,Resident,,,350.0
1995-96,1995,Marshall University Joan C. Edwards School of Medicine,Marshall-Edwards,Tuition,Public,Nonresident,,,18210.0
1995-96,1995,Marshall University Joan C. Edwards School of Medicine,Marshall-Edwards,Tuition,Public,Resident,,,7784.0
1995-96,1995,Marshall University Joan C. Edwards School of Medicine,Marshall-Edwards,Tuition and Fees,Public,Nonresident,,,18560.0
1995-96,1995,Marshall University Joan C. Edwards School of Medicine,Marshall-Edwards,Tuition and Fees,Public,Resident,,,8134.0
1995-96,1995,Mayo Clinic Alix School of Medicine,Mayo-Alix,Fees,Private,Nonresident,,,0.0
1995-96,1995,Mayo Clinic Alix School of Medicine,Mayo-Alix,Fees,Private,Resident,,,0.0
1995-96,1995,Mayo Clinic Alix School of Medicine,Mayo-Alix,Tuition,Private,Nonresident,,,19800.0
1995-96,1995,Mayo Clinic Alix School of Medicine,Mayo-Alix,Tuition,Private,Resident,,,9925.0
1995-96,1995,Mayo Clinic Alix School of Medicine,Mayo-Alix,Tuition and Fees,Private,Nonresident,,,19800.0
1995-96,1995,Mayo Clinic Alix School of Medicine,Mayo-Alix,Tuition and Fees,Private,Resident,,,9925.0
1995-96,1995,McGovern Medical School at the University of Texas Health Science Center at Houston,UT Houston-McGovern,Fees,Public,Nonresident,,,653.0
1995-96,1995,McGovern Medical School at the University of Texas Health Science Center at Houston,UT Houston-McGovern,Fees,Public,Resident,,,653.0
1995-96,1995,McGovern Medical School at the University of Texas Health Science Center at Houston,UT Houston-McGovern,Tuition,Public,Nonresident,,,19650.0
1995-96,1995,McGovern Medical School at the University of Texas Health Science Center at Houston,UT Houston-McGovern,Tuition,Public,Resident,,,6550.0
1995-96,1995,McGovern Medical School at the University of Texas Health Science Center at Houston,UT Houston-McGovern,Tuition and Fees,Public,Nonresident,,,20303.0
1995-96,1995,McGovern Medical School at the University of Texas Health Science Center at Houston,UT Houston-McGovern,Tuition and Fees,Public,Resident,,,7203.0
1995-96,1995,Medical College of Georgia at Augusta University,MC Georgia Augusta,Fees,Public,Nonresident,,,557.0
1995-96,1995,Medical College of Georgia at Augusta University,MC Georgia Augusta,Fees,Public,Resident,,,557.0
1995-96,1995,Medical College of Georgia at Augusta University,MC Georgia Augusta,Tuition,Public,Nonresident,,,14976.0
1995-96,1995,Medical College of Georgia at Augusta University,MC Georgia Augusta,Tuition,Public,Resident,,,4755.0
1995-96,1995,Medical College of Georgia at Augusta University,MC Georgia Augusta,Tuition and Fees,Public,Nonresident,,,15533.0
1995-96,1995,Medical College of Georgia at Augusta University,MC Georgia Augusta,Tuition and Fees,Public,Resident,,,5312.0
1995-96,1995,Medical College of Wisconsin,MC Wisconsin,Fees,Private,Nonresident,,,35.0
1995-96,1995,Medical College of Wisconsin,MC Wisconsin,Fees,Private,Resident,,,35.0
1995-96,1995,Medical College of Wisconsin,MC Wisconsin,Tuition,Private,Nonresident,,,22950.0
1995-96,1995,Medical College of Wisconsin,MC Wisconsin,Tuition,Private,Resident,,,12859.0
1995-96,1995,Medical College of Wisconsin,MC Wisconsin,Tuition and Fees,Private,Nonresident,,,22985.0
1995-96,1995,Medical College of Wisconsin,MC Wisconsin,Tuition and Fees,Private,Resident,,,12894.0
1995-96,1995,Medical University of South Carolina College of Medicine,MU South Carolina,Fees,Public,Nonresident,,,9012.0
1995-96,1995,Medical University of South Carolina College of Medicine,MU South Carolina,Fees,Public,Resident,,,344.0
1995-96,1995,Medical University of South Carolina College of Medicine,MU South Carolina,Tuition,Public,Nonresident,,,8284.0
1995-96,1995,Medical University of South Carolina College of Medicine,MU South Carolina,Tuition,Public,Resident,,,2508.0
1995-96,1995,Medical University of South Carolina College of Medicine,MU South Carolina,Tuition and Fees,Public,Nonresident,,,17296.0
1995-96,1995,Medical University of South Carolina College of Medicine,MU South Carolina,Tuition and Fees,Public,Resident,,,5950.0
1995-96,1995,Meharry Medical College,Meharry,Fees,Private,Nonresident,,,1864.0
1995-96,1995,Meharry Medical College,Meharry,Fees,Private,Resident,,,1864.0
1995-96,1995,Meharry Medical College,Meharry,Tuition,Private,Nonresident,,,16500.0
1995-96,1995,Meharry Medical College,Meharry,Tuition,Private,Resident,,,16500.0
1995-96,1995,Meharry Medical College,Meharry,Tuition and Fees,Private,Nonresident,,,18364.0
1995-96,1995,Meharry Medical College,Meharry,Tuition and Fees,Private,Resident,,,18364.0
1995-96,1995,Mercer University School of Medicine,Mercer,Fees,Private,Nonresident,,,
1995-96,1995,Mercer University School of Medicine,Mercer,Fees,Private,Resident,,,0.0
1995-96,1995,Mercer University School of Medicine,Mercer,Tuition,Private,Nonresident,,,
1995-96,1995,Mercer University School of Medicine,Mercer,Tuition,Private,Resident,,,18890.0
1995-96,1995,Mercer University School of Medicine,Mercer,Tuition and Fees,Private,Nonresident,,,
1995-96,1995,Mercer University School of Medicine,Mercer,Tuition and Fees,Private,Resident,,,18890.0
1995-96,1995,Michigan State University College of Human Medicine,Michigan State,Fees,Public,Nonresident,,,854.0
1995-96,1995,Michigan State University College of Human Medicine,Michigan State,Fees,Public,Resident,,,854.0
1995-96,1995,Michigan State University College of Human Medicine,Michigan State,Tuition,Public,Nonresident,,,30098.0
1995-96,1995,Michigan State University College of Human Medicine,Michigan State,Tuition,Public,Resident,,,13700.0
1995-96,1995,Michigan State University College of Human Medicine,Michigan State,Tuition and Fees,Public,Nonresident,,,30952.0
1995-96,1995,Michigan State University College of Human Medicine,Michigan State,Tuition and Fees,Public,Resident,,,14554.0
1995-96,1995,Morehouse School of Medicine,Morehouse,Fees,Private,Nonresident,,,1853.0
1995-96,1995,Morehouse School of Medicine,Morehouse,Fees,Private,Resident,,,1853.0
1995-96,1995,Morehouse School of Medicine,Morehouse,Tuition,Private,Nonresident,,,15750.0
1995-96,1995,Morehouse School of Medicine,Morehouse,Tuition,Private,Resident,,,15750.0
1995-96,1995,Morehouse School of Medicine,Morehouse,Tuition and Fees,Private,Nonresident,,,17603.0
1995-96,1995,Morehouse School of Medicine,Morehouse,Tuition and Fees,Private,Resident,,,17603.0
1995-96,1995,New York Medical College,New York Medical,Fees,Private,Nonresident,,,465.0
1995-96,1995,New York Medical College,New York Medical,Fees,Private,Resident,,,465.0
1995-96,1995,New York Medical College,New York Medical,Tuition,Private,Nonresident,,,25150.0
1995-96,1995,New York Medical College,New York Medical,Tuition,Private,Resident,,,25150.0
1995-96,1995,New York Medical College,New York Medical,Tuition and Fees,Private,Nonresident,,,25615.0
1995-96,1995,New York Medical College,New York Medical,Tuition and Fees,Private,Resident,,,25615.0
1995-96,1995,New York University Grossman School of Medicine,NYU-Grossman,Fees,Private,Nonresident,,,3720.0
1995-96,1995,New York University Grossman School of Medicine,NYU-Grossman,Fees,Private,Resident,,,3720.0
1995-96,1995,New York University Grossman School of Medicine,NYU-Grossman,Tuition,Private,Nonresident,,,20900.0
1995-96,1995,New York University Grossman School of Medicine,NYU-Grossman,Tuition,Private,Resident,,,20900.0
1995-96,1995,New York University Grossman School of Medicine,NYU-Grossman,Tuition and Fees,Private,Nonresident,,,24620.0
1995-96,1995,New York University Grossman School of Medicine,NYU-Grossman,Tuition and Fees,Private,Resident,,,24620.0
1995-96,1995,Northeast Ohio Medical University,Northeast Ohio,Fees,Public,Nonresident,,,699.0
1995-96,1995,Northeast Ohio Medical University,Northeast Ohio,Fees,Public,Resident,,,699.0
1995-96,1995,Northeast Ohio Medical University,Northeast Ohio,Tuition,Public,Nonresident,,,19434.0
1995-96,1995,Northeast Ohio Medical University,Northeast Ohio,Tuition,Public,Resident,,,9717.0
1995-96,1995,Northeast Ohio Medical University,Northeast Ohio,Tuition and Fees,Public,Nonresident,,,20133.0
1995-96,1995,Northeast Ohio Medical University,Northeast Ohio,Tuition and Fees,Public,Resident,,,10416.0
1995-96,1995,Northwestern University The Feinberg School of Medicine,Northwestern-Feinberg,Fees,Private,Nonresident,,,880.0
1995-96,1995,Northwestern University The Feinberg School of Medicine,Northwestern-Feinberg,Fees,Private,Resident,,,880.0
1995-96,1995,Northwestern University The Feinberg School of Medicine,Northwestern-Feinberg,Tuition,Private,Nonresident,,,25446.0
1995-96,1995,Northwestern University The Feinberg School of Medicine,Northwestern-Feinberg,Tuition,Private,Resident,,,25446.0
1995-96,1995,Northwestern University The Feinberg School of Medicine,Northwestern-Feinberg,Tuition and Fees,Private,Nonresident,,,26326.0
1995-96,1995,Northwestern University The Feinberg School of Medicine,Northwestern-Feinberg,Tuition and Fees,Private,Resident,,,26326.0
1995-96,1995,Ohio State University College of Medicine,Ohio State,Fees,Public,Nonresident,,,234.0
1995-96,1995,Ohio State University College of Medicine,Ohio State,Fees,Public,Resident,,,234.0
1995-96,1995,Ohio State University College of Medicine,Ohio State,Tuition,Public,Nonresident,,,26460.0
1995-96,1995,Ohio State University College of Medicine,Ohio State,Tuition,Public,Resident,,,9174.0
1995-96,1995,Ohio State University College of Medicine,Ohio State,Tuition and Fees,Public,Nonresident,,,26694.0
1995-96,1995,Ohio State University College of Medicine,Ohio State,Tuition and Fees,Public,Resident,,,9408.0
1995-96,1995,Oregon Health & Science University School of Medicine,Oregon,Fees,Public,Nonresident,,,1524.0
