cycle_year,state,school,applications,in state applicants,out of state applicants,women applicants,men applicants,matriculants,in state matriculants,out of state matriculants,women matriculants,men matriculants
2012,MA,Tufts,401.0,11.2,88.8,40.1,59.9,5.0,20.0,80.0,40.0,60.0
2012,MD,Johns Hopkins,575.0,4.7,95.3,35.3,64.7,10.0,10.0,90.0,20.0,80.0
2012,MD,Maryland,257.0,15.6,84.4,46.3,53.7,5.0,40.0,60.0,40.0,60.0
2012,MD,Uniformed Services-Hebert,41.0,7.3,92.7,29.3,70.7,1.0,0.0,100.0,0.0,100.0
2012,MI,Michigan,447.0,6.7,93.3,35.8,64.2,13.0,15.4,84.6,38.5,61.5
2012,MI,Michigan State,77.0,14.3,85.7,40.3,59.7,2.0,100.0,0.0,100.0,0.0
2012,MI,Oakland Beaumont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,MI,Wayne State,64.0,28.1,71.9,40.6,59.4,3.0,66.7,33.3,0.0,100.0
2012,MN,Mayo,249.0,6.0,94.0,32.5,67.5,6.0,33.3,66.7,50.0,50.0
2012,MN,Minnesota,178.0,9.0,91.0,34.8,65.2,7.0,0.0,100.0,28.6,71.4
2012,MO,Missouri Columbia,36.0,36.1,63.9,41.7,58.3,0.0,0.0,0.0,0.0,0.0
2012,MO,Missouri Kansas City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,MO,Saint Louis,93.0,9.7,90.3,30.1,69.9,2.0,0.0,100.0,100.0,0.0
2012,MO,Washington U St Louis,592.0,3.0,97.0,34.6,65.4,24.0,8.3,91.7,33.3,66.7
2012,MS,Mississippi,5.0,100.0,0.0,60.0,40.0,1.0,100.0,0.0,100.0,0.0
2012,NC,Duke,448.0,4.5,95.5,36.2,63.8,10.0,10.0,90.0,40.0,60.0
2012,NC,East Carolina-Brody,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,NC,North Carolina,369.0,7.6,92.4,37.1,62.9,9.0,33.3,66.7,22.2,77.8
2012,NC,Wake Forest,166.0,13.3,86.7,33.1,66.9,2.0,0.0,100.0,100.0,0.0
2012,ND,North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,NE,Creighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,NE,Nebraska,56.0,7.1,92.9,33.9,66.1,4.0,25.0,75.0,0.0,100.0
2012,NH,Dartmouth-Geisel,308.0,0.3,99.7,38.6,61.4,3.0,0.0,100.0,100.0,0.0
2012,NJ,Cooper Rowan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,NJ,Rutgers New Jersey,63.0,36.5,63.5,33.3,66.7,4.0,100.0,0.0,0.0,100.0
2012,NJ,Rutgers-RW Johnson,108.0,33.3,66.7,38.0,62.0,8.0,75.0,25.0,37.5,62.5
2012,NM,New Mexico,25.0,40.0,60.0,48.0,52.0,1.0,100.0,0.0,100.0,0.0
2012,NV,Nevada Reno,24.0,12.5,87.5,45.8,54.2,0.0,0.0,0.0,0.0,0.0
2012,NY,Albany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,NY,Buffalo-Jacobs,94.0,34.0,66.0,25.5,74.5,4.0,50.0,50.0,0.0,100.0
2012,NY,Columbia-Vagelos,605.0,12.2,87.8,35.9,64.1,15.0,33.3,66.7,40.0,60.0
2012,NY,Cornell-Weill,543.0,14.0,86.0,37.6,62.4,14.0,35.7,64.3,35.7,64.3
2012,NY,Einstein,406.0,16.3,83.7,36.5,63.5,13.0,30.8,69.2,46.2,53.8
2012,NY,Zucker Hofstra Northwell,36.0,44.4,55.6,47.2,52.8,4.0,25.0,75.0,75.0,25.0
2012,NY,Mount Sinai-Icahn,381.0,16.8,83.2,38.8,61.2,11.0,27.3,72.7,9.1,90.9
2012,NY,New York Medical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,NY,NYU-Grossman,427.0,15.5,84.5,39.8,60.2,11.0,36.4,63.6,54.5,45.5
2012,NY,Rochester,255.0,18.4,81.6,36.5,63.5,8.0,50.0,50.0,25.0,75.0
2012,NY,SUNY Downstate,106.0,45.3,54.7,37.7,62.3,3.0,66.7,33.3,33.3,66.7
2012,NY,SUNY Upstate,105.0,33.3,66.7,39.0,61.0,3.0,66.7,33.3,33.3,66.7
2012,NY,Renaissance Stony Brook,258.0,29.1,70.9,36.4,63.6,8.0,37.5,62.5,12.5,87.5
2012,OH,Case Western Reserve,339.0,9.7,90.3,35.1,64.9,14.0,14.3,85.7,35.7,64.3
2012,OH,Cincinnati,163.0,17.8,82.2,33.7,66.3,7.0,14.3,85.7,28.6,71.4
2012,OH,Northeast Ohio,17.0,47.1,52.9,52.9,47.1,0.0,0.0,0.0,0.0,0.0
2012,OH,Ohio State,133.0,22.6,77.4,40.6,59.4,8.0,12.5,87.5,62.5,37.5
2012,OH,Toledo,53.0,37.7,62.3,37.7,62.3,2.0,100.0,0.0,50.0,50.0
2012,OH,Wright State-Boonshoft,37.0,45.9,54.1,48.6,51.4,0.0,0.0,0.0,0.0,0.0
2012,OK,Oklahoma,31.0,22.6,77.4,48.4,51.6,1.0,100.0,0.0,100.0,0.0
2012,OR,Oregon,188.0,9.6,90.4,38.8,61.2,5.0,40.0,60.0,100.0,0.0
2012,PA,Geisinger Commonwealth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,PA,Drexel,169.0,13.0,87.0,43.8,56.2,6.0,33.3,66.7,0.0,100.0
2012,PA,Jefferson-Kimmel,174.0,13.8,86.2,40.2,59.8,5.0,20.0,80.0,40.0,60.0
2012,PA,Penn State,188.0,18.1,81.9,41.5,58.5,9.0,44.4,55.6,33.3,66.7
2012,PA,Pennsylvania-Perelman,661.0,6.7,93.3,38.0,62.0,20.0,25.0,75.0,35.0,65.0
2012,PA,Pittsburgh,429.0,9.3,90.7,35.4,64.6,6.0,0.0,100.0,16.7,83.3
2012,PA,Temple-Katz,145.0,16.6,83.4,40.0,60.0,5.0,20.0,80.0,60.0,40.0
2012,PR,Caribe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,PR,Ponce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,PR,Puerto Rico,12.0,33.3,66.7,33.3,66.7,0.0,0.0,0.0,0.0,0.0
2012,PR,San Juan Bautista,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,RI,Brown-Alpert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,SC,MU South Carolina,171.0,9.9,90.1,36.3,63.7,4.0,0.0,100.0,50.0,50.0
2012,SC,South Carolina Columbia,45.0,8.9,91.1,31.1,68.9,0.0,0.0,0.0,0.0,0.0
2012,SC,South Carolina Greenville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,SD,South Dakota-Sanford,13.0,7.7,92.3,38.5,61.5,2.0,50.0,50.0,50.0,50.0
2012,TN,East Tennessee-Quillen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,TN,Meharry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,TN,Tennessee,17.0,29.4,70.6,52.9,47.1,0.0,0.0,0.0,0.0,0.0
2012,TN,Vanderbilt,401.0,3.7,96.3,34.9,65.1,10.0,10.0,90.0,20.0,80.0
2012,TX,Baylor,368.0,20.7,79.3,40.2,59.8,14.0,50.0,50.0,28.6,71.4
2012,TX,Texas A & M,95.0,53.7,46.3,38.9,61.1,2.0,50.0,50.0,0.0,100.0
2012,TX,Texas Tech,55.0,65.5,34.5,47.3,52.7,2.0,100.0,0.0,0.0,100.0
2012,TX,Texas Tech-Foster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,TX,UT Galveston,160.0,43.8,56.3,41.9,58.1,6.0,50.0,50.0,33.3,66.7
2012,TX,UT San Antonio-Long,4.0,50.0,50.0,25.0,75.0,4.0,50.0,50.0,25.0,75.0
2012,TX,UT Houston-McGovern,200.0,42.0,58.0,39.0,61.0,3.0,0.0,100.0,33.3,66.7
2012,TX,UT Southwestern,309.0,31.1,68.9,38.8,61.2,8.0,37.5,62.5,37.5,62.5
2012,UT,Utah,86.0,22.1,77.9,34.9,65.1,3.0,33.3,66.7,66.7,33.3
2012,VA,Eastern Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,VA,Virginia,260.0,11.5,88.5,40.4,59.6,6.0,16.7,83.3,33.3,66.7
2012,VA,Virginia Commonwealth,123.0,19.5,80.5,44.7,55.3,10.0,40.0,60.0,30.0,70.0
2012,VA,Virginia Tech Carilion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,VT,Vermont-Larner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,WA,U Washington,498.0,6.6,93.4,36.7,63.3,12.0,33.3,66.7,25.0,75.0
2012,WI,MC Wisconsin,132.0,10.6,89.4,39.4,60.6,6.0,0.0,100.0,16.7,83.3
2012,WI,Wisconsin,282.0,8.2,91.8,39.0,61.0,9.0,11.1,88.9,55.6,44.4
2012,WV,Marshall-Edwards,5.0,20.0,80.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0
2012,WV,West Virginia,39.0,5.1,94.9,48.7,51.3,1.0,100.0,0.0,0.0,100.0
2013,AL,Alabama,285.0,2.1,97.9,30.9,69.1,7.0,0.0,100.0,28.6,71.4
2013,AL,South Alabama,18.0,5.6,94.4,27.8,72.2,0.0,0.0,0.0,0.0,0.0
2013,AR,Arkansas,44.0,31.8,68.2,43.2,56.8,3.0,66.7,33.3,0.0,100.0
2013,AZ,Arizona,99.0,15.2,84.8,34.3,65.7,2.0,100.0,0.0,0.0,100.0
2013,AZ,Arizona Phoenix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,CA,Loma Linda,74.0,47.3,52.7,35.1,64.9,0.0,0.0,0.0,0.0,0.0
2013,CA,Southern Cal-Keck,281.0,49.1,50.9,34.5,65.5,3.0,66.7,33.3,0.0,100.0
2013,CA,Stanford,614.0,28.3,71.7,33.7,66.1,10.0,60.0,40.0,20.0,80.0
2013,CA,UC Davis,198.0,62.1,37.9,32.8,67.2,1.0,100.0,0.0,100.0,0.0
2013,CA,UC Irvine,303.0,54.8,45.2,36.0,63.7,6.0,66.7,33.3,66.7,33.3
2013,CA,UC Riverside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,CA,UC San Diego,450.0,37.8,62.2,34.9,65.1,6.0,33.3,66.7,50.0,50.0
2013,CA,UC San Francisco,561.0,32.3,67.7,35.3,64.5,11.0,54.5,45.5,81.8,18.2
2013,CA,UCLA Drew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,CA,UCLA-Geffen,460.0,40.0,60.0,33.9,66.1,14.0,78.6,21.4,28.6,71.4
2013,CO,Colorado,343.0,5.0,95.0,33.5,66.2,9.0,22.2,77.8,33.3,66.7
2013,CT,Connecticut,133.0,12.0,88.0,36.1,63.9,2.0,100.0,0.0,50.0,50.0
2013,CT,Quinnipiac-Netter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,CT,Yale,544.0,2.9,97.1,37.3,62.5,10.0,0.0,100.0,60.0,40.0
2013,DC,George Washington,126.0,0.0,100.0,45.2,54.8,0.0,0.0,0.0,0.0,0.0
2013,DC,Georgetown,305.0,0.0,100.0,40.7,59.3,0.0,0.0,0.0,0.0,0.0
2013,DC,Howard,107.0,0.0,100.0,49.5,50.5,0.0,0.0,0.0,0.0,0.0
2013,FL,UCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,FL,FIU-Wertheim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,FL,Florida,137.0,37.2,62.8,29.9,70.1,4.0,100.0,0.0,25.0,75.0
2013,FL,Florida Atlantic-Schmidt,44.0,36.4,63.6,34.1,65.9,0.0,0.0,0.0,0.0,0.0
2013,FL,Florida State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,FL,Miami-Miller,183.0,24.0,76.0,31.7,68.3,5.0,40.0,60.0,40.0,60.0
2013,FL,USF-Morsani,46.0,41.3,58.7,37.0,63.0,0.0,0.0,0.0,0.0,0.0
2013,GA,Emory,470.0,7.4,92.6,37.0,63.0,9.0,11.1,88.9,55.6,44.4
2013,GA,MC Georgia Augusta,92.0,37.0,63.0,42.4,57.6,4.0,50.0,50.0,75.0,25.0
2013,GA,Mercer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,GA,Morehouse,52.0,15.4,84.6,46.2,53.8,0.0,0.0,0.0,0.0,0.0
2013,HI,Hawaii-Burns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,IA,Iowa-Carver,181.0,6.6,93.4,32.6,66.9,9.0,0.0,100.0,33.3,66.7
2013,IL,Chicago Med Franklin,135.0,13.3,86.7,40.0,60.0,0.0,0.0,0.0,0.0,0.0
2013,IL,Chicago-Pritzker,458.0,9.6,90.4,32.5,67.5,8.0,12.5,87.5,50.0,50.0
2013,IL,Illinois,404.0,15.8,84.2,37.1,62.6,22.0,27.3,72.7,40.9,59.1
2013,IL,Loyola-Stritch,129.0,21.7,78.3,34.9,65.1,0.0,0.0,0.0,0.0,0.0
2013,IL,Northwestern-Feinberg,508.0,10.0,90.0,35.2,64.8,12.0,16.7,83.3,8.3,91.7
2013,IL,Rush,58.0,29.3,70.7,39.7,60.3,0.0,0.0,0.0,0.0,0.0
2013,IL,Southern Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,IN,Indiana,170.0,12.4,87.6,28.2,71.8,7.0,42.9,57.1,42.9,57.1
2013,KS,Kansas,79.0,11.4,88.6,29.1,70.9,3.0,66.7,33.3,0.0,100.0
2013,KY,Kentucky,64.0,9.4,90.6,29.7,70.3,3.0,0.0,100.0,0.0,100.0
2013,KY,Louisville,48.0,12.5,87.5,35.4,64.6,3.0,33.3,66.7,33.3,66.7
2013,LA,LSU New Orleans,56.0,17.9,82.1,51.8,48.2,5.0,40.0,60.0,60.0,40.0
2013,LA,LSU Shreveport,21.0,14.3,85.7,38.1,61.9,0.0,0.0,0.0,0.0,0.0
2013,LA,Tulane,113.0,2.7,97.3,39.8,60.2,1.0,0.0,100.0,0.0,100.0
2013,MA,Boston,372.0,9.1,90.9,38.7,61.3,6.0,33.3,66.7,16.7,83.3
2013,MA,Harvard,664.0,5.9,94.1,32.4,67.5,13.0,0.0,100.0,38.5,61.5
2013,MA,Massachusetts,202.0,20.3,79.7,40.6,59.4,8.0,62.5,37.5,37.5,62.5
2013,MA,Tufts,397.0,9.8,90.2,37.0,63.0,5.0,0.0,100.0,40.0,60.0
2013,MD,Johns Hopkins,598.0,6.5,93.5,33.4,66.6,15.0,20.0,80.0,33.3,66.7
2013,MD,Maryland,283.0,14.5,85.5,36.7,62.9,3.0,33.3,66.7,33.3,66.7
2013,MD,Uniformed Services-Hebert,52.0,0.0,100.0,44.2,55.8,1.0,0.0,100.0,100.0,0.0
2013,MI,Central Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,MI,Michigan,423.0,9.5,90.5,35.7,64.3,14.0,35.7,64.3,28.6,71.4
2013,MI,Michigan State,90.0,18.9,81.1,36.7,63.3,1.0,100.0,0.0,100.0,0.0
2013,MI,Oakland Beaumont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,MI,Wayne State,70.0,40.0,60.0,24.3,75.7,3.0,66.7,33.3,33.3,66.7
2013,MN,Mayo,231.0,4.8,95.2,32.9,67.1,6.0,16.7,83.3,33.3,66.7
2013,MN,Minnesota,213.0,8.9,91.1,38.5,61.5,7.0,28.6,71.4,42.9,57.1
2013,MO,Missouri Columbia,44.0,25.0,75.0,34.1,65.9,1.0,100.0,0.0,100.0,0.0
2013,MO,Missouri Kansas City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,MO,Saint Louis,104.0,7.7,92.3,36.5,63.5,4.0,50.0,50.0,75.0,25.0
2013,MO,Washington U St Louis,565.0,3.2,96.8,32.6,67.4,17.0,17.6,82.4,23.5,76.5
2013,MS,Mississippi,4.0,100.0,0.0,25.0,75.0,1.0,100.0,0.0,0.0,100.0
2013,NC,Duke,420.0,4.3,95.7,31.9,68.1,9.0,11.1,88.9,44.4,55.6
2013,NC,East Carolina-Brody,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,NC,North Carolina,338.0,6.8,93.2,37.0,63.0,9.0,11.1,88.9,33.3,66.7
2013,NC,Wake Forest,144.0,13.2,86.8,34.0,66.0,4.0,50.0,50.0,50.0,50.0
2013,ND,North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,NE,Creighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,NE,Nebraska,57.0,3.5,96.5,38.6,61.4,3.0,0.0,100.0,33.3,66.7
2013,NH,Dartmouth-Geisel,267.0,0.4,99.6,34.5,65.5,3.0,0.0,100.0,0.0,100.0
2013,NJ,Cooper Rowan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,NJ,Rutgers New Jersey,81.0,37.0,63.0,38.3,61.7,4.0,100.0,0.0,25.0,75.0
2013,NJ,Rutgers-RW Johnson,133.0,35.3,64.7,36.8,62.4,4.0,50.0,50.0,0.0,100.0
2013,NM,New Mexico,22.0,22.7,77.3,36.4,63.6,2.0,100.0,0.0,50.0,50.0
2013,NV,Nevada Reno,32.0,9.4,90.6,34.4,65.6,0.0,0.0,0.0,0.0,0.0
2013,NY,Albany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,NY,Buffalo-Jacobs,101.0,38.6,61.4,37.6,62.4,2.0,100.0,0.0,50.0,50.0
2013,NY,Columbia-Vagelos,633.0,12.8,87.2,34.4,65.4,14.0,14.3,85.7,21.4,78.6
2013,NY,Cornell-Weill,509.0,13.8,86.2,36.3,63.5,18.0,27.8,72.2,22.2,77.8
2013,NY,Zucker Hofstra Northwell,85.0,21.2,78.8,43.5,56.5,4.0,50.0,50.0,50.0,50.0
2013,NY,Mount Sinai-Icahn,396.0,17.7,82.3,38.1,61.9,12.0,8.3,91.7,41.7,58.3
2013,NY,New York Medical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,NY,NYU-Grossman,425.0,15.8,84.2,35.1,64.9,10.0,10.0,90.0,30.0,70.0
2013,NY,Rochester,242.0,23.1,76.9,38.8,61.2,9.0,44.4,55.6,44.4,55.6
2013,NY,SUNY Downstate,134.0,37.3,62.7,35.1,64.9,1.0,0.0,100.0,0.0,100.0
2013,NY,SUNY Upstate,110.0,30.0,70.0,30.9,69.1,5.0,40.0,60.0,0.0,100.0
2013,NY,Renaissance Stony Brook,263.0,29.7,70.3,38.0,61.6,6.0,33.3,66.7,50.0,50.0
2013,NY,Einstein,443.0,17.2,82.8,35.9,64.1,14.0,21.4,78.6,42.9,57.1
2013,OH,Case Western Reserve,349.0,9.7,90.3,36.4,63.6,12.0,25.0,75.0,33.3,66.7
2013,OH,Cincinnati,172.0,17.4,82.6,37.2,62.8,7.0,28.6,71.4,28.6,71.4
2013,OH,Northeast Ohio,31.0,38.7,61.3,48.4,51.6,0.0,0.0,0.0,0.0,0.0
2013,OH,Ohio State,178.0,19.7,80.3,32.6,67.4,10.0,30.0,70.0,60.0,40.0
2013,OH,Toledo,50.0,30.0,70.0,34.0,66.0,2.0,50.0,50.0,0.0,100.0
2013,OH,Wright State-Boonshoft,45.0,22.2,77.8,37.8,62.2,1.0,0.0,100.0,100.0,0.0
2013,OK,Oklahoma,40.0,22.5,77.5,42.5,57.5,1.0,100.0,0.0,0.0,100.0
2013,OR,Oregon,186.0,10.2,89.8,31.2,68.8,5.0,60.0,40.0,80.0,20.0
2013,PA,Geisinger Commonwealth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,PA,Drexel,214.0,11.7,88.3,39.3,60.7,3.0,0.0,100.0,100.0,0.0
2013,PA,Jefferson-Kimmel,173.0,11.0,89.0,32.9,67.1,5.0,40.0,60.0,20.0,80.0
2013,PA,Penn State,193.0,11.9,88.1,39.9,60.1,6.0,16.7,83.3,16.7,83.3
2013,PA,Pennsylvania-Perelman,589.0,5.8,94.2,33.3,66.7,24.0,4.2,95.8,33.3,66.7
2013,PA,Pittsburgh,387.0,8.8,91.2,36.2,63.8,14.0,14.3,85.7,35.7,64.3
2013,PA,Temple-Katz,165.0,15.8,84.2,40.6,59.4,3.0,100.0,0.0,100.0,0.0
2013,PR,Caribe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,PR,Ponce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,PR,Puerto Rico,18.0,38.9,61.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0
2013,PR,San Juan Bautista,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,RI,Brown-Alpert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,SC,MU South Carolina,173.0,6.9,93.1,39.3,60.7,9.0,11.1,88.9,11.1,88.9
2013,SC,South Carolina Columbia,49.0,12.2,87.8,36.7,63.3,0.0,0.0,0.0,0.0,0.0
2013,SC,South Carolina Greenville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,SD,South Dakota-Sanford,26.0,15.4,84.6,30.8,69.2,2.0,0.0,100.0,0.0,100.0
2013,TN,East Tennessee-Quillen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,TN,Meharry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,TN,Tennessee,28.0,39.3,60.7,42.9,57.1,0.0,0.0,0.0,0.0,0.0
