----------------------------------------------------------------------------------------------------------------
Search Criteria:,
"     Fiscal Year: Active Projects,  2022,  2021,  2020,  2019,  2018,  2017,  2016,  2015,  2014,  2013,  2012,  2011,  2010,  2009,  2008,  2007,  2006,  2005,  2004,  2003,  2002,  2001,  2000,  1999,  1998,  1997,  1996,  1995,  1994,  1993,  1992,  1991,  1990,  1989,  1988,  1987,  1986,  1985"
"     Text Search: "Medical Scientist",  "MSTP" (or)"
"     Limit to: Project Title"
----------------------------------------------------------------------------------------------------------------
"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Administering IC","Application ID","Award Notice Date","FOA","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","Primary DUNS","Primary UEI","DUNS Number","UEI","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","Project Narrative
Clinical disorders, such as Alzheimers, auto-immunity, diabetes, cancer, hypertension, obesity
and genetic diseases result in significant human suffering, and unnecessary morbidity and
mortality. To mitigate the negative impact of these diseases, it is critical to train a cadre of
physician-scientists who can identify the most important questions in medicine, and then apply
the most rigorous scientific investigation tools to discover disease mechanism, novel treatments,
and optimal prevention strategies. Trainees supported by this grant will become the future
biomedical physician-scientists who will work towards increasing our understanding of
fundamental pathogenesis of disease and cutting-edge approaches to treat patients.","NIGMS","10188550","6/7/2021 12:00:00 AM","PA-16-152","5T32GM008497-29","5","T32","GM","008497","29"," ","GINDHART, JOSEPH G","7/1/1993 12:00:00 AM","6/30/2023 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1870525","WILSON, CARA C.","Not Applicable","06","INTERNAL MEDICINE/MEDICINE","041096314","MW8JHK6ZYEX8","041096314","MW8JHK6ZYEX8","US","39.708143","-104.724958","1199905","UNIVERSITY OF COLORADO DENVER","Aurora","CO","SCHOOLS OF MEDICINE","800452570","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NIGMS","821376","38830"," ","860206",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","PROJECT NARRATIVE
The University of Iowa MSTP is committed to the goal of training outstanding students for
careers as successful physician-scientists. We aspire to train individuals who will be leaders
among the next generation of physician-scientists.","NIGMS","10088081","6/15/2021 12:00:00 AM","PAR-19-036","1T32GM139776-01","1","T32","GM","139776","01"," ","KEANE-MYERS, ANDREA","7/1/2021 12:00:00 AM","6/30/2026 12:00:00 AM","Training and Workforce Development Study Section - B[TWD-B]"," ","1859868","LENTZ, STEVEN R","GEYER, PAMELA K.","02","INTERNAL MEDICINE/MEDICINE","062761671","Z1H9VJS8NG16","062761671","Z1H9VJS8NG16","US","41.662689","-91.547715","3972901","UNIVERSITY OF IOWA","IOWA CITY","IA","SCHOOLS OF MEDICINE","522421320","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NIGMS","924048","43684"," ","967732",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","Project Narrative
Continued improvement in human health depends on the translation of fundamental
knowledge to clinical settings, and the integration of approaches from several different
disciplines. The Stanford MSTP embraces and promotes these goals, training physician-
scientists to be academic leaders for future advances in biomedical research.","NIGMS","10163856","6/7/2021 12:00:00 AM","PA-16-152","5T32GM007365-46","5","T32","GM","007365","46"," ","GINDHART, JOSEPH G","11/1/1976 12:00:00 AM","6/30/2022 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1907889","CHUA, KATRIN F","Not Applicable","18","NO CODE ASSIGNED","009214214","HJD6G4D6TJY5","009214214","HJD6G4D6TJY5","US","37.429038","-122.178178","8046501","STANFORD UNIVERSITY","STANFORD","CA","SCHOOLS OF MEDICINE","943052004","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NIGMS","1540080","72806"," ","1596051",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","Project Narrative
We propose to create Resilience at Yale — “R@Y”— a data-driven, scalable and sustainable infrastructure for
resilience training and wellness activities at the Yale School of Medicine (YSM) for students and faculty from
underrepresented racial and ethnic groups, individuals with disabilities and from socially, culturally,
economically or educationally disadvantaged backgrounds. Using validated resilience and psychological
wellness scales in a survey instrument, we aim to measure the resilience and ascertain the needs of MD-PhD
students, PhD students and faculty participating in NIGMS-funded T32 training grants at YSM in the context of
the laboratory research environment. Data from this study will inform the second aim to create a strong
infrastructure staffed by administrators, mental health professionals, faculty and student peers to implement
existing NIH Office of Intramural Training and Education Resilience Training Program curricula and training
activities (webinars, small group discussions, peer ambassador training) developed by Dr. Sharon Milgram and
to sustain future efforts to promote biomedical researcher resilience and well-being.","NIGMS","10394011","6/30/2021 12:00:00 AM","PA-20-272","3T32GM136651-02S1","3","T32","GM","136651","02","S","GINDHART, JOSEPH G","7/1/2020 12:00:00 AM","6/30/2025 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1925241","KAZMIERCZAK, BARBARA I","Not Applicable","03","INTERNAL MEDICINE/MEDICINE","043207562","FL6GV84CKN57","043207562","FL6GV84CKN57","US","41.303164","-72.931644","9420201","YALE UNIVERSITY","NEW HAVEN","CT","SCHOOLS OF MEDICINE","065208327","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NIGMS","79973","6398"," ","86371",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","Project Narrative
We are in the midst of a dynamic era of biomedical research. The quickening pace of scientific
discovery demands a new generation of physician-scientists who are able to understand the
languages that are spoken both in the research setting and at the bedside. Using this knowledge,
these individuals will be ideally positioned to make significant contributions to and improvements
in human health, and thereby become the next generation of leaders in biomedical science.","NIGMS","10398994","7/21/2021 12:00:00 AM","PA-18-403","3T32GM008719-23S1","3","T32","GM","008719","23","S","GINDHART, JOSEPH G","7/1/1999 12:00:00 AM","6/30/2024 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","6721519","DESHMUKH, MOHANISH P","DARVILLE, TONI ","04","INTERNAL MEDICINE/MEDICINE","608195277","D3LHU66KBLD5","608195277","D3LHU66KBLD5","US","35.926939","-79.038605","578206","UNIV OF NORTH CAROLINA CHAPEL HILL","CHAPEL HILL","NC","SCHOOLS OF MEDICINE","275995023","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NIEHS","51336","2427"," ","53763",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","Project Narrative
We are in the midst of a dynamic era of biomedical research. The quickening pace of scientific
discovery demands a new generation of physician-scientists who are able to understand the
languages that are spoken both in the research setting and at the bedside. Using this knowledge,
these individuals will be ideally positioned to make significant contributions to and improvements
in human health, and thereby become the next generation of leaders in biomedical science.","NIGMS","10398994","7/21/2021 12:00:00 AM","PA-18-403","3T32GM008719-23S1","3","T32","GM","008719","23","S","GINDHART, JOSEPH G","7/1/1999 12:00:00 AM","6/30/2024 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","6721519","DESHMUKH, MOHANISH P","DARVILLE, TONI ","04","INTERNAL MEDICINE/MEDICINE","608195277","D3LHU66KBLD5","608195277","D3LHU66KBLD5","US","35.926939","-79.038605","578206","UNIV OF NORTH CAROLINA CHAPEL HILL","CHAPEL HILL","NC","SCHOOLS OF MEDICINE","275995023","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NICHD","51336","2427"," ","53763",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","Project Narrative
We are in the midst of a dynamic era of biomedical research. The quickening pace of scientific
discovery demands a new generation of physician-scientists who are able to understand the
languages that are spoken both in the research setting and at the bedside. Using this knowledge,
these individuals will be ideally positioned to make significant contributions to and improvements
in human health, and thereby become the next generation of leaders in biomedical science.","NIGMS","10398994","7/21/2021 12:00:00 AM","PA-18-403","3T32GM008719-23S1","3","T32","GM","008719","23","S","GINDHART, JOSEPH G","7/1/1999 12:00:00 AM","6/30/2024 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","6721519","DESHMUKH, MOHANISH P","DARVILLE, TONI ","04","INTERNAL MEDICINE/MEDICINE","608195277","D3LHU66KBLD5","608195277","D3LHU66KBLD5","US","35.926939","-79.038605","578206","UNIV OF NORTH CAROLINA CHAPEL HILL","CHAPEL HILL","NC","SCHOOLS OF MEDICINE","275995023","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NCI","51336","2427"," ","53763",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","Narrative
This application seeks funding to support the training of future physician scientists
through a combined MD and PhD program. Our highly integrated, innovative and
expedient training program is designed to provide instruction, oversight and mentoring in
the basic and clinical sciences, equipping our trainees with a thorough understanding of
experimental design and professional skills to succeed at the forefront of biomedical and
translational research.","NIGMS","10472120","9/3/2021 12:00:00 AM","PA-14-015","3T32GM008208-33S1","3","T32","GM","008208","33","S","KEANE-MYERS, ANDREA","7/1/1987 12:00:00 AM","6/30/2022 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1867541","STEINMAN, RICHARD A","Not Applicable","18","INTERNAL MEDICINE/MEDICINE","004514360","MKAGLD59JRL1","004514360","MKAGLD59JRL1","US","40.444001","-79.956102","2059802","UNIVERSITY OF PITTSBURGH AT PITTSBURGH","PITTSBURGH","PA","SCHOOLS OF MEDICINE","152133320","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NINDS","51336","2427"," ","53763",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","Project Narrative
The mission of the MD-PhD Program at Harvard and MIT is to train the next-generation of physician-scientist leaders
who will intertwine premier clinical care and leading edge scientific investigation to deliver on the promise of new
biomedical solutions to alleviate human suffering. By harnessing the academic, clinical, and research environments
of Harvard Medical School, the Massachusetts Institute of Technology, and all affiliated Boston hospitals and
research institutes, we aim to provide our students with unparalleled depth and breadth of clinical and research
educational opportunities balanced by a profoundly caring and invested community of student colleagues and
faculty mentors. Under new leadership since 2013, the program has undergone a comprehensive review of
operations to both reinforce what works and institute a battery of educational, social, and administrative
changes to make the Harvard/MIT training experience that much better, now and into the future.","NIGMS","10204009","6/1/2021 12:00:00 AM","PA-14-015","5T32GM007753-43","5","T32","GM","007753","43"," ","GINDHART, JOSEPH G","7/1/1979 12:00:00 AM","6/30/2022 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1902271","WALENSKY, LOREN DAVID","Not Applicable","07","NONE","047006379","JDLVAVGYJQ21","047006379","JDLVAVGYJQ21","US","42.335814","-71.105033","3212902","HARVARD MEDICAL SCHOOL","BOSTON","MA","SCHOOLS OF MEDICINE","021201616","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NIGMS","2464128","116490"," ","2572408",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","Project Narrative
This application seeks to continue long-standing support for the UCSD Medical Scientist (M.D./Ph.D.) Training
Program (MSTP), which combines both M.D. (through an Integrated Scientific Curriculum in the UCSD School
of Medicine) and Ph.D. training in areas of the biomedical sciences, including cellular and molecular biology,
neuroscience, and bioengineering. Excellent trainees are recruited throughout the United States and graduates
typically pursue careers as academic physician scientists. This MSTP has evolved through not only expanding
research opportunities and support at UCSD and affiliated institutions (Salk Institute for Biological Sciences and
the Scripps Research Institute) but also growing a pool of diverse, high quality applicants and faculty.","NIGMS","10204006","5/24/2021 12:00:00 AM","PA-18-403","5T32GM007198-47","5","T32","GM","007198","47"," ","KEANE-MYERS, ANDREA","7/1/1975 12:00:00 AM","6/30/2025 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1881196","INSEL, PAUL A","CHI, NEIL C","52","PHARMACOLOGY","804355790","UYTTZT6G9DT1","804355790","UYTTZT6G9DT1","US","32.881785","-117.236973","577507","UNIVERSITY OF CALIFORNIA, SAN DIEGO","LA JOLLA","CA","SCHOOLS OF MEDICINE","920930621","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NIGMS","1232064","58245"," ","1290309",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","Bridging the gap between biomedical discoveries and clinical practice in the United States and
elsewhere is challenging. Scientists and doctors often have surprisingly distinct types of
professional training in how to think and communicate about their work. We are proposing in this
application to continue to train physician-scientists in both rigorous experimental science and
clinical medicine, allowing them to interact with both worlds, imbue their own research programs
with medically relevant themes, and push new discoveries forward to benefit public health.","NIGMS","10198931","6/9/2021 12:00:00 AM","PA-18-403","5T32GM007267-43","5","T32","GM","007267","43"," ","GINDHART, JOSEPH G","7/1/1977 12:00:00 AM","6/30/2025 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","1930361","KEDES, DEAN H","Not Applicable","05","PHYSIOLOGY","065391526","JJG6HU8PA4S5","065391526","JJG6HU8PA4S5","US","38.034207","-78.512346","1526402","UNIVERSITY OF VIRGINIA","CHARLOTTESVILLE","VA","SCHOOLS OF MEDICINE","229044195","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NIGMS","718704","33976"," ","752680",
"No NIH Category available","Medical;Scientist;Training Programs","Medical Scientist Training Program","This grant award will support the Medical Scientist Training Program (MSTP) at the University of
Maryland School of Medicine. The mission of our MSTP is to train a diverse and creative cadre of
physician-scientists who will become leaders in their chosen fields of research, develop new
knowledge and translate it to enhance clinical practice. This training will serve the nation by
developing physician-scientists who can accelerate the progress of biomedical research from the
laboratory to the direct benefit of patients.","NIGMS","10451842","8/12/2021 12:00:00 AM","PAR-19-036","3T32GM136561-02S3","3","T32","GM","136561","02","S","GINDHART, JOSEPH G","7/1/2020 12:00:00 AM","6/30/2025 12:00:00 AM","Training and Workforce Development Study Section - A[TWD-A]"," ","2873560","ROGHMANN, MARY-CLAIRE ","Not Applicable","07","PUBLIC HEALTH & PREV MEDICINE","188435911","Z9CRZKD42ZT1","188435911","Z9CRZKD42ZT1","US","39.291412","-76.624753","820104","UNIVERSITY OF MARYLAND BALTIMORE","BALTIMORE","MD","SCHOOLS OF MEDICINE","212011508","UNITED STATES","N","7/1/2021 12:00:00 AM","6/30/2022 12:00:00 AM","859","Training, Institutional","2021"," "," ","NIAID","51336","2427"," ","53763",
